run_id,study,gain,n,provenance_status,excursion_mean_rad,excursion_sd_rad,sigma_start_mean,sigma_start_sd,sigma_end_mean,sigma_end_sd,sigma_minimum_mean,sigma_minimum_sd,sigma_minimum_min,sigma_gain_mean,sigma_gain_sd,task_error_peak_mean_mm,task_error_peak_sd_mm,task_error_peak_max_mm,force_peak_mean_N,disturbance_tau_peak_mean_Nm,torque_scale_min,nullspace_speed_peak_mean_rad_s
MAIN_NS7_baseline_20N_200mm,damping,0,3,clean-committed,0.132614246,0.0159743503,0.216511522,5.44776459e-06,0.214377015667,0.00047611587,0.214376558,0.000475986678,0.214005362,-0.00213450633,0.000470725126,1.23291575,0.0658274109,1.30403485,20,2.41225528,1,0.119463313
MAIN_NS7_damping_2p0_20N_200mm,damping,2,3,clean-committed,0.0992980553,0.00396812357,0.216509106667,2.8251105e-06,0.215252172667,9.45744523e-05,0.215251223333,9.37895916e-05,0.215149266,-0.001256934,9.17529528e-05,1.22863209,0.0518905808,1.26996496,20,2.31021496,1,0.080386674
MAIN_NS8_ksigma_1p5_20N_200mm,sigma,1.5,3,clean-committed,0.0050197591,8.39902689e-05,0.216532229,1.08475665e-06,0.216532295667,1.00818368e-06,0.216531816333,1.04791237e-06,0.21653067,6.66666667e-08,7.82133833e-08,0.888619525,0.0244665526,0.912500112,20,2.16716229,1,0.013270906
MAIN_NS8_ksigma_2p0_20N_200mm,sigma,2,3,clean-committed,0.0294435416,0.00248084938,0.216533888333,4.69278524e-07,0.216533914333,2.25011852e-07,0.216533321667,3.07287054e-07,0.216532977,2.6e-08,2.44393126e-07,0.983106923,0.0526526114,1.0222393,20,2.16734951,1,0.0466850657
