t_contact_s,theta_err_t1_deg,theta_err_t2_deg,total_error_deg,fn_est_N,moment_t1_est_Nm,old_gamma_t1_deg,tool_normal_x,tool_normal_y,tool_normal_z
0,9.266242244,0.527309437,9.281233785,-0.749246401576,1.11860151537,0,-0.0261806254763,0.133661679885,-0.990681144557
0.001,9.265702921,0.527789785,9.280722638,-0.654128151922,1.11687196806,0.000549054594105,-0.026189000043,0.133652353256,-0.990682181502
0.002,9.265033857,0.528075502,9.28007091,-0.579269658178,1.11548351838,0.00123004342107,-0.0261940023183,0.133640782152,-0.990683610235
0.003,9.264492722,0.528169984,9.279536029,-0.527476944004,1.11402279322,0.00177921108961,-0.0261956744705,0.133631423095,-0.99068482849
0.004,9.26386264,0.528429424,9.278921741,-0.503246417789,1.1128248897,0.00242022154923,-0.0262002168363,0.133620526494,-0.99068617813
0.005,9.26317812,0.528033059,9.278215766,-0.499641353427,1.11238537129,0.00310631015816,-0.0261933706049,0.133608684594,-0.99068795629
0.006,9.26204603,0.527056721,9.277029991,-0.501350212213,1.11264133046,0.00422891729357,-0.0261764754127,0.133589099905,-0.990691043929
0.007,9.260601663,0.526226031,9.275540793,-0.496698961881,1.11243915275,0.00566413049646,-0.0261621274941,0.133564113577,-0.990694791876
0.008,9.258739953,0.524268952,9.273571235,-0.48767032245,1.11229971723,0.00751067098982,-0.0261282368319,0.133531904744,-0.990700028089
0.009,9.256682442,0.523163217,9.271454556,-0.475986585216,1.11499470358,0.00954387189271,-0.0261091463106,0.133496311872,-0.990705328135
0.01,9.254252597,0.522021115,9.268964191,-0.454649465701,1.12016431877,0.0119491292238,-0.0260894445878,0.133454278889,-0.990711510142
0.011,9.252035971,0.521260292,9.266708256,-0.433641832331,1.12556732547,0.0141285489605,-0.0260763546696,0.133415934979,-0.990717019144
0.012,9.249521823,0.521762653,9.264226369,-0.431500644027,1.13127009096,0.0166026079604,-0.0260852243109,0.133372450008,-0.990722640627
0.013,9.247212993,0.522556118,9.261965938,-0.449378976678,1.13652710598,0.0188680433239,-0.0260991392688,0.133332517493,-0.990727649109
0.014,9.245063635,0.524163526,9.259910854,-0.486980745014,1.13961409902,0.0209746776825,-0.0261271842459,0.133295347186,-0.9907319116
0.015,9.242854279,0.526273867,9.257824767,-0.549999076642,1.14118437018,0.0231419677918,-0.0261639694051,0.133257140071,-0.990736080561
0.016,9.240756824,0.528605096,9.255863548,-0.645215617507,1.14316459835,0.0251985371221,-0.0262045864791,0.133220868751,-0.990739885024
0.017,9.238678514,0.530930581,9.253921761,-0.776784534733,1.14673031654,0.0272419078903,-0.0262451020382,0.133184929645,-0.990743644509
0.018,9.236580449,0.533444013,9.251971731,-0.927681064878,1.15184171056,0.0293064552217,-0.0262888830938,0.133148648212,-0.990747360383
0.019,9.234896071,0.536386817,9.250460327,-1.07514109483,1.15765570119,0.0309589428608,-0.0263401005635,0.133119525202,-0.990749913506
0.02,9.233152647,0.539855754,9.248921669,-1.22355725233,1.16247123455,0.032669369526,-0.026400460233,0.133089381636,-0.990752356644
0.021,9.231820555,0.543912776,9.247829576,-1.38439263487,1.16422374449,0.0339687637814,-0.0264710126208,0.133066355837,-0.990753566956
0.022,9.230484871,0.548246571,9.246752146,-1.5527550247,1.16112007616,0.0352706467311,-0.026546374319,0.133043268635,-0.990754651103
0.023,9.22919112,0.552772774,9.245730175,-1.7149919173,1.15214226184,0.0365355925002,-0.0266250753128,0.133020907574,-0.990755541752
0.024,9.228016526,0.557471816,9.244839849,-1.8577767472,1.13861550701,0.0376799472616,-0.0267067713946,0.13300060786,-0.990756068198
0.025,9.226906573,0.5620389,9.244008472,-1.97670542962,1.12397331837,0.0387652148253,-0.026786171979,0.132981425682,-0.990756499557
0.026,9.225698646,0.566152519,9.243053834,-2.07450005736,1.11042896558,0.0399443897576,-0.0268577011217,0.132960547345,-0.990757365221
0.027,9.22462632,0.571351062,9.242303435,-2.15038503563,1.09722653141,0.0409872656663,-0.0269480678041,0.132942018124,-0.990757397882
0.028,9.22381937,0.576268879,9.241803374,-2.19405075988,1.08344235284,0.0417614168542,-0.0270335439541,0.132928077972,-0.990756939712
0.029,9.222885809,0.58166567,9.241209747,-2.20061922512,1.06927868547,0.0426674635002,-0.027127347174,0.132911949717,-0.990756539548
0.03,9.221965232,0.587388459,9.240653004,-2.17830579281,1.05515769689,0.0435559373574,-0.0272268129039,0.132896046441,-0.990755944468
0.031,9.221134988,0.592806781,9.240170472,-2.12958990825,1.04202115243,0.0443603185939,-0.0273209835413,0.13288170454,-0.990755275765
0.032,9.220322282,0.598405845,9.239720371,-2.0480806657,1.03145175404,0.0451457288363,-0.0274182939328,0.132867665932,-0.990754470344
0.033,9.219530914,0.603675101,9.239273451,-1.94161878754,1.0249804267,0.0459073703686,-0.0275098726934,0.132853995493,-0.990753764962
0.034,9.21862886,0.608891595,9.238715659,-1.82945850845,1.02181376783,0.046789733964,-0.0276005420407,0.132838409629,-0.990753333079
0.035,9.217844728,0.614110233,9.238278671,-1.72013589988,1.0196709392,0.0475484356645,-0.0276912417286,0.132824864187,-0.990752618258
0.036,9.217052006,0.61966741,9.237858809,-1.62319124887,1.01731422946,0.0483192281788,-0.0277878216569,0.132811170251,-0.990751749948
0.037,9.216493369,0.625045491,9.237663768,-1.55082689735,1.01391840263,0.0488527607273,-0.0278812774509,0.132801525564,-0.990750417197
0.038,9.215713759,0.630738351,9.237272917,-1.49106497246,1.00882734436,0.0496121407675,-0.0279802141847,0.132788058067,-0.990749433131
0.039,9.214873435,0.635783851,9.236780474,-1.42185283508,1.0012624654,0.050434716547,-0.0280679094162,0.132773538817,-0.990748898486
0.04,9.214132274,0.640667192,9.236378512,-1.34725658382,0.990978917988,0.051150455649,-0.0281527810686,0.132760733975,-0.990748206374
0.041,9.213196827,0.645672573,9.235793893,-1.28440131166,0.979220471013,0.0520689135757,-0.0282397839561,0.132744568811,-0.990747896315
0.042,9.212343665,0.65040677,9.235275024,-1.2410219845,0.967172286174,0.0528965457685,-0.0283220711113,0.132729824706,-0.990747522794
0.043,9.211411086,0.655586582,9.234711038,-1.2149121681,0.955153392111,0.0538114514807,-0.0284121042129,0.132713709225,-0.990747103815
0.044,9.21060152,0.660261676,9.234236614,-1.19981688592,0.942382614565,0.0546002671161,-0.0284933623694,0.132699719279,-0.990746644104
0.045,9.209838195,0.665481473,9.233849965,-1.19407013429,0.92864002972,0.0553393729075,-0.0285840797187,0.132686531333,-0.990745797261
0.046,9.208991065,0.67070995,9.23338336,-1.19100042614,0.915030295939,0.0561672844004,-0.0286749523766,0.132671893273,-0.990745131626
0.047,9.208217487,0.675577781,9.23296673,-1.17765977836,0.901696233569,0.0569238533586,-0.0287595563239,0.132658525673,-0.990744469319
0.048,9.207415845,0.681216137,9.232581544,-1.15137256551,0.888619119806,0.0577079453056,-0.0288575458474,0.132644674963,-0.990743474494
0.049,9.206974866,0.685944451,9.232491862,-1.11904131879,0.876680219105,0.058131919316,-0.0289397063808,0.13263706069,-0.990742097383
0.05,9.206452208,0.691323845,9.232371901,-1.0874524591,0.865719296603,0.058635080231,-0.0290331809602,0.132628035567,-0.990740570778
